gbd_term	mapped_trait_uri	mapping_strategy	mapping_source	include_in_pipeline	hierarchy_distance	hierarchy_weight	root_mapped_trait_uri	lookup_trait_uri	replacement_type	source_file	source_column	source_value	search_term	matched_gwas_trait_examples	n_matching_pubmeds
Aortic aneurysm	MONDO:0005160	canonical	canonical_model_review	TRUE	0	1	MONDO:0005160		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005160	Aortic aneurysm		8
Aortic aneurysm	MONDO:0005350	canonical	canonical_model_review	TRUE	0	1	MONDO:0005350		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005350	Aortic aneurysm		14
Aortic aneurysm	MONDO:0005396	canonical	canonical_model_review	TRUE	0	1	MONDO:0005396		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005396	Aortic aneurysm		6
Appendicitis	MONDO:0005649	canonical	canonical_model_review	TRUE	0	1	MONDO:0005649		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005649	Appendicitis		14
Appendicitis	MONDO:0056798	canonical	canonical_model_review	TRUE	0	1	MONDO:0056798		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0056798	Appendicitis		5
Asthma	EFO:0010638	canonical	canonical_model_review	TRUE	0	1	EFO:0010638		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0010638	Asthma		2
Asthma	EFO:1002011	canonical	canonical_model_review	TRUE	0	1	EFO:1002011		original	04_evidence_package_reviewed.csv	ontology_id	EFO:1002011	Asthma		6
Asthma	MONDO:0004766	canonical	canonical_model_review	TRUE	0	1	MONDO:0004766		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004766	Asthma		2
Asthma	MONDO:0004784	canonical	canonical_model_review	TRUE	0	1	MONDO:0004784		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004784	Asthma		1
Asthma	MONDO:0004979	canonical	canonical_model_review	TRUE	0	1	MONDO:0004979		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004979	Asthma		96
Asthma	MONDO:0005405	canonical	canonical_model_review	TRUE	0	1	MONDO:0005405		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005405	Asthma		22
Asthma	MONDO:0956975	canonical	canonical_model_review	TRUE	0	1	MONDO:0956975		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0956975	Asthma		1
Atopic dermatitis	EFO:1000651	canonical	canonical_model_review	TRUE	0	1	EFO:1000651		original	04_evidence_package_reviewed.csv	ontology_id	EFO:1000651	Atopic dermatitis		1
Atopic dermatitis	HP:0000964	canonical	canonical_model_review	TRUE	0	1	HP:0000964		original	04_evidence_package_reviewed.csv	ontology_id	HP:0000964	Atopic dermatitis		9
Atopic dermatitis	MONDO:0004980	canonical	canonical_model_review	TRUE	0	1	MONDO:0004980		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004980	Atopic dermatitis		29
Atrial fibrillation and flutter	HP:0004757	canonical	canonical_model_review	TRUE	0	1	HP:0004757		original	04_evidence_package_reviewed.csv	ontology_id	HP:0004757	Atrial fibrillation and flutter		1
Atrial fibrillation and flutter	MONDO:0004981	canonical	canonical_model_review	TRUE	0	1	MONDO:0004981		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004981	Atrial fibrillation and flutter		43
Atrial fibrillation and flutter	MONDO:0005310	canonical	canonical_model_review	TRUE	0	1	MONDO:0005310		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005310	Atrial fibrillation and flutter		4
Attention-deficit/hyperactivity disorder	MONDO:0007743	canonical	canonical_model_review	TRUE	0	1	MONDO:0007743		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0007743	Attention-deficit/hyperactivity disorder		57
Autism spectrum disorders	MONDO:0005258	canonical	canonical_model_review	TRUE	0	1	MONDO:0005258		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005258	Autism spectrum disorders		26
Autism spectrum disorders	MONDO:0005260	canonical	canonical_model_review	TRUE	0	1	MONDO:0005260		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005260	Autism spectrum disorders		14
Autism spectrum disorders	MONDO:0005287	canonical	canonical_human_review	TRUE	0	1	MONDO:0005287		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005287	Autism spectrum disorders		3
Autism spectrum disorders	MONDO:0100610	canonical	canonical_model_review	TRUE	0	1	MONDO:0100610		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0100610	Autism spectrum disorders		2
Bacterial skin diseases	MONDO:0021201	canonical	canonical_model_review	TRUE	0	1	MONDO:0021201		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0021201	Bacterial skin diseases		7
Benign and in situ cervical and uterine neoplasms	MONDO:0000632	canonical	canonical_model_review	TRUE	0	1	MONDO:0000632		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0000632	Benign and in situ cervical and uterine neoplasms		4
Benign and in situ cervical and uterine neoplasms	MONDO:0006137	canonical	canonical_model_review	TRUE	0	1	MONDO:0006137		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0006137	Benign and in situ cervical and uterine neoplasms		1
Benign and in situ cervical and uterine neoplasms	MONDO:0042487	canonical	canonical_model_review	TRUE	0	1	MONDO:0042487		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0042487	Benign and in situ cervical and uterine neoplasms		2
Benign and in situ intestinal neoplasms	MONDO:0000385	canonical	canonical_model_review	TRUE	0	1	MONDO:0000385		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0000385	Benign and in situ intestinal neoplasms		3
Benign and in situ intestinal neoplasms	MONDO:0002278	canonical	canonical_model_review	TRUE	0	1	MONDO:0002278		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0002278	Benign and in situ intestinal neoplasms		6
Benign and in situ intestinal neoplasms	MONDO:0021462	canonical	canonical_model_review	TRUE	0	1	MONDO:0021462		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0021462	Benign and in situ intestinal neoplasms		1
Benign and in situ intestinal neoplasms	MONDO:0021464	canonical	canonical_model_review	TRUE	0	1	MONDO:0021464		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0021464	Benign and in situ intestinal neoplasms		1
Benign and in situ intestinal neoplasms	MONDO:0044983	canonical	canonical_model_review	TRUE	0	1	MONDO:0044983		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0044983	Benign and in situ intestinal neoplasms		4
Benign prostatic hyperplasia	MONDO:0010811	canonical	canonical_model_review	TRUE	0	1	MONDO:0010811		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0010811	Benign prostatic hyperplasia		10
Bipolar disorder	EFO:0009963	canonical	canonical_model_review	TRUE	0	1	EFO:0009963		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0009963	Bipolar disorder		5
Bipolar disorder	EFO:0009964	canonical	canonical_model_review	TRUE	0	1	EFO:0009964		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0009964	Bipolar disorder		4
Bipolar disorder	EFO:0009965	canonical	canonical_model_review	TRUE	0	1	EFO:0009965		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0009965	Bipolar disorder		1
Bipolar disorder	MONDO:0004985	canonical	canonical_model_review	TRUE	0	1	MONDO:0004985		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004985	Bipolar disorder		83
Bladder cancer	MONDO:0001187	canonical	canonical_model_review	TRUE	0	1	MONDO:0001187		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0001187	Bladder cancer		10
Blindness and vision loss	HP:0000504	canonical	canonical_model_review	TRUE	0	1	HP:0000504		original	04_evidence_package_reviewed.csv	ontology_id	HP:0000504	Blindness and vision loss		3
Blindness and vision loss	HP:0000529	canonical	canonical_model_review	TRUE	0	1	HP:0000529		original	04_evidence_package_reviewed.csv	ontology_id	HP:0000529	Blindness and vision loss		1
Blindness and vision loss	HP:0000572	canonical	canonical_model_review	TRUE	0	1	HP:0000572		original	04_evidence_package_reviewed.csv	ontology_id	HP:0000572	Blindness and vision loss		1
Blindness and vision loss	HP:0000618	canonical	canonical_model_review	TRUE	0	1	HP:0000618		original	04_evidence_package_reviewed.csv	ontology_id	HP:0000618	Blindness and vision loss		4
Blindness and vision loss	HP:0007957	canonical	canonical_model_review	TRUE	0	1	HP:0007957		original	04_evidence_package_reviewed.csv	ontology_id	HP:0007957	Blindness and vision loss		3
Blindness and vision loss	MONDO:0001703	canonical	canonical_model_review	TRUE	0	1	MONDO:0001703		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0001703	Blindness and vision loss		2
Brain and central nervous system cancer	MONDO:0001657	canonical	canonical_model_review	TRUE	0	1	MONDO:0001657		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0001657	Brain and central nervous system cancer		3
Brain and central nervous system cancer	MONDO:0002714	canonical	canonical_model_review	TRUE	0	1	MONDO:0002714		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0002714	Brain and central nervous system cancer		10
Brain and central nervous system cancer	MONDO:0005872	canonical	canonical_model_review	TRUE	0	1	MONDO:0005872		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005872	Brain and central nervous system cancer		2
Breast cancer	EFO:0009443	canonical	canonical_model_review	TRUE	0	1	EFO:0009443		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0009443	Breast cancer		1
Breast cancer	EFO:0009782	canonical	canonical_model_review	TRUE	0	1	EFO:0009782		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0009782	Breast cancer		1
Breast cancer	MONDO:0000616	canonical	canonical_model_review	TRUE	0	1	MONDO:0000616		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0000616	Breast cancer		2
Breast cancer	MONDO:0000618	canonical	canonical_model_review	TRUE	0	1	MONDO:0000618		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0000618	Breast cancer		4
Breast cancer	MONDO:0004989	canonical	canonical_model_review	TRUE	0	1	MONDO:0004989		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004989	Breast cancer		93
Breast cancer	MONDO:0006512	canonical	canonical_model_review	TRUE	0	1	MONDO:0006512		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0006512	Breast cancer		16
Breast cancer	MONDO:0006513	canonical	canonical_model_review	TRUE	0	1	MONDO:0006513		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0006513	Breast cancer		17
Breast cancer	MONDO:0007254	canonical	canonical_model_review	TRUE	0	1	MONDO:0007254		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0007254	Breast cancer		25
Bulimia nervosa	MONDO:0005452	canonical	canonical_model_review	TRUE	0	1	MONDO:0005452		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005452	Bulimia nervosa		1
Burkitt lymphoma	MONDO:0007243	canonical	canonical_model_review	TRUE	0	1	MONDO:0007243		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0007243	Burkitt lymphoma		1
COVID-19	MONDO:0100096	canonical	canonical_model_review	TRUE	0	1	MONDO:0100096		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0100096	COVID-19		55
Cannabis use disorders	MONDO:0005689	canonical	canonical_model_review	TRUE	0	1	MONDO:0005689		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005689	Cannabis use disorders		8
Cardiomyopathy and myocarditis	EFO:0001425	canonical	canonical_model_review	TRUE	0	1	EFO:0001425		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0001425	Cardiomyopathy and myocarditis		1
Cardiomyopathy and myocarditis	EFO:0009094	canonical	canonical_model_review	TRUE	0	1	EFO:0009094		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0009094	Cardiomyopathy and myocarditis		1
Cardiomyopathy and myocarditis	EFO:0009881	canonical	canonical_model_review	TRUE	0	1	EFO:0009881		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0009881	Cardiomyopathy and myocarditis		1
Cardiomyopathy and myocarditis	MONDO:0004496	canonical	canonical_model_review	TRUE	0	1	MONDO:0004496		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004496	Cardiomyopathy and myocarditis		4
Cardiomyopathy and myocarditis	MONDO:0004994	canonical	canonical_model_review	TRUE	0	1	MONDO:0004994		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004994	Cardiomyopathy and myocarditis		13
Cardiomyopathy and myocarditis	MONDO:0005021	canonical	canonical_model_review	TRUE	0	1	MONDO:0005021		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005021	Cardiomyopathy and myocarditis		8
Cardiomyopathy and myocarditis	MONDO:0005045	canonical	canonical_model_review	TRUE	0	1	MONDO:0005045		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005045	Cardiomyopathy and myocarditis		10
Cardiomyopathy and myocarditis	MONDO:0005491	canonical	canonical_model_review	TRUE	0	1	MONDO:0005491		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005491	Cardiomyopathy and myocarditis		3
Cardiomyopathy and myocarditis	MONDO:0018920	canonical	canonical_model_review	TRUE	0	1	MONDO:0018920		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0018920	Cardiomyopathy and myocarditis		1
Caries of deciduous teeth	EFO:0600095	canonical	canonical_model_review	TRUE	0	1	EFO:0600095		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0600095	Caries of deciduous teeth		4
Caries of deciduous teeth	MONDO:0005276	canonical	canonical_model_review	TRUE	0	1	MONDO:0005276		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005276	Caries of deciduous teeth		17
Caries of deciduous teeth	MONDO:0005591	canonical	canonical_model_review	TRUE	0	1	MONDO:0005591		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005591	Caries of deciduous teeth		2
Caries of permanent teeth	EFO:0600096	canonical	canonical_model_review	TRUE	0	1	EFO:0600096		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0600096	Caries of permanent teeth		1
Caries of permanent teeth	MONDO:0002233	canonical	canonical_model_review	TRUE	0	1	MONDO:0002233		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0002233	Caries of permanent teeth		1
Caries of permanent teeth	MONDO:0005276	canonical	canonical_model_review	TRUE	0	1	MONDO:0005276		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005276	Caries of permanent teeth		17
Caries of permanent teeth	MONDO:0005591	canonical	canonical_model_review	TRUE	0	1	MONDO:0005591		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005591	Caries of permanent teeth		2
Caries of permanent teeth	MONDO:0005592	canonical	canonical_model_review	TRUE	0	1	MONDO:0005592		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005592	Caries of permanent teeth		2
Cataract	HP:0011141	canonical	canonical_model_review	TRUE	0	1	HP:0011141		original	04_evidence_package_reviewed.csv	ontology_id	HP:0011141	Cataract		5
Cataract	HP:0011142	canonical	canonical_model_review	TRUE	0	1	HP:0011142		original	04_evidence_package_reviewed.csv	ontology_id	HP:0011142	Cataract		3
Cataract	MONDO:0004847	canonical	canonical_model_review	TRUE	0	1	MONDO:0004847		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0004847	Cataract		5
Cataract	MONDO:0005129	canonical	canonical_model_review	TRUE	0	1	MONDO:0005129		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005129	Cataract		22
Cellulitis	MONDO:0005230	canonical	canonical_model_review	TRUE	0	1	MONDO:0005230		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005230	Cellulitis		9
Cervical cancer	MONDO:0002974	canonical	canonical_model_review	TRUE	0	1	MONDO:0002974		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0002974	Cervical cancer		6
Cervical cancer	MONDO:0005131	canonical	canonical_model_review	TRUE	0	1	MONDO:0005131		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005131	Cervical cancer		18
Chagas disease	MONDO:0005491	canonical	canonical_model_review	TRUE	0	1	MONDO:0005491		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005491	Chagas disease		3
Chlamydial infection	MONDO:0020776	canonical	canonical_model_review	TRUE	0	1	MONDO:0020776		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0020776	Chlamydial infection		1
Chlamydial infection	MONDO:0021697	canonical	canonical_model_review	TRUE	0	1	MONDO:0021697		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0021697	Chlamydial infection		1
Chronic hepatitis B including cirrhosis	EFO:0008496	canonical	canonical_model_review	TRUE	0	1	EFO:0008496		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0008496	Chronic hepatitis B including cirrhosis		5
Chronic hepatitis B including cirrhosis	MONDO:0005344	canonical	canonical_model_review	TRUE	0	1	MONDO:0005344		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005344	Chronic hepatitis B including cirrhosis		13
Chronic hepatitis B including cirrhosis	MONDO:0005366	canonical	canonical_model_review	TRUE	0	1	MONDO:0005366		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005366	Chronic hepatitis B including cirrhosis		8
Chronic hepatitis C including cirrhosis	EFO:0008496	canonical	canonical_model_review	TRUE	0	1	EFO:0008496		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0008496	Chronic hepatitis C including cirrhosis		5
Chronic hepatitis C including cirrhosis	MONDO:0005231	canonical	canonical_model_review	TRUE	0	1	MONDO:0005231		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005231	Chronic hepatitis C including cirrhosis		9
Chronic hepatitis C including cirrhosis	MONDO:0005354	canonical	canonical_model_review	TRUE	0	1	MONDO:0005354		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005354	Chronic hepatitis C including cirrhosis		14
Chronic hepatitis C including cirrhosis	MONDO:0005448	canonical	canonical_model_review	TRUE	0	1	MONDO:0005448		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005448	Chronic hepatitis C including cirrhosis		1
Chronic kidney disease	EFO:0009909	canonical	canonical_model_review	TRUE	0	1	EFO:0009909		original	04_evidence_package_reviewed.csv	ontology_id	EFO:0009909	Chronic kidney disease		3
Chronic kidney disease	MONDO:0005300	canonical	canonical_model_review	TRUE	0	1	MONDO:0005300		original	04_evidence_package_reviewed.csv	ontology_id	MONDO:0005300	Chronic kidney disease		45
